stationReference,month,avg_daily_pet
E71239,1,0.583622762613446
E71224,1,0.583622762613446
F3803,1,0.37100976251064904
E23752,1,0.39305188331090596
023038,1,0.32471582949492267
3230TH,1,0.3097971090176476
47142,1,0.5465580169709635
43158,1,0.4370705940765037
4066,1,0.3421016693154349
2816TH,1,0.34628047177619325
F2104,1,0.3788421094935187
44105,1,0.6849036339662087
3290TH,1,0.27125155356922326
1995TH,1,0.4282664614164371
E1228,1,0.4133633624517056
4770TH,1,0.3583181670021685
3074TH,1,0.33894893550949223
0902TH,1,0.39381065855974245
50124,1,0.7763523197784987
E21788,1,0.3302112900529864
L3211,1,0.3761107822268844
L3805,1,0.39813653960144424
53124,1,0.3626676305163291
E6642,1,0.2758508742350271
E2300,1,0.42927888366265143
43209,1,0.44832523067442964
2088,1,0.3534037187852696
055014_TG 306,1,0.3114971860473747
L0930,1,0.40674419746689744
43111,1,0.433253168318929
3286TH,1,0.3113782758235646
022007,1,0.30511394582203427
4873,1,0.37153554732791844
46111,1,0.4759027441585403
744250,1,0.430404011316952
0260TH,1,0.36132893992358156
45127,1,0.6587365420971241
49111,1,0.7261761855644384
L1108,1,0.3825724125255161
48127,1,0.5947663706627118
F2540,1,0.3758166933919163
1289TH,1,0.4077164980902174
720101,1,0.41709963468312156
52130,1,0.5113043823761209
4180_w2TH,1,0.2886770452992583
4205,1,0.3242942457491901
5362TH,1,0.3210230976139024
45215,1,0.47119345549510494
2139,1,0.37654451485168877
4094,1,0.36664381132415924
E13271,1,0.4146514452818219
2852TH,1,0.3540683567580596
2635,1,0.3652141805688147
024013,1,0.39691205835422705
724629,1,0.3820800735402861
L2403,1,0.4426853623699287
2882TH,1,0.28618367461189415
722242,1,0.3383920276812053
47133,1,0.5718337634968591
E62201,1,0.39786152841684835
2150TH,1,0.42020099204200717
2219TH,1,0.4030531726814438
2180TH,1,0.4062152153413495
50152,1,0.7404603420912533
2227,1,0.36018931536912496
2302TH,1,0.38520973165680855
F2220,1,0.36165715480986244
44221,1,0.49563131081237644
3660TH,1,0.34225738614569123
50115,1,0.5490163192059127
4145,1,0.3617635716189383
E15611,1,0.28927180907950956
712415,1,0.3137547961481165
E21050,1,0.4091249702318854
E15240,1,0.3028057648385629
761605,1,0.3671741484136961
3110TH,1,0.32087782154614114
F2902,1,0.4910288700046611
45118,1,0.4807427799738733
E4803,1,0.4165260664281741
3626TH,1,0.36302216229409695
E23052,1,0.3164489687018041
4139TH,1,0.28175913008174014
0630TH,1,0.40261966817759154
52121,1,0.48250040580033526
E10893,1,0.32235713729523946
E21732,1,0.3627056785666969
0660TH,1,0.39719154714451516
L17022,1,0.31163301394142107
4650TH,1,0.35020522302984153
760115,1,0.31446916010216447
3838TH,1,0.31260179514462827
E12551,1,0.40508277377451374
43177,1,0.41389091983405807
4085,1,0.2698248291324009
E2862,1,0.41660081012701383
2032,1,0.3886686690756871
2626,1,0.36484667405905363
024004,1,0.4036651904486771
4832TH,1,0.3773140690740025
E1780,1,0.4638965115493024
751690,1,0.38826312281371855
47124,1,0.5434540240012449
L0601,1,0.3439908398595975
4048,1,0.3493537615053145
E21324,1,0.39240123235568586
50180,1,0.5669590233508452
2255,1,0.36347573882863166
E22035,1,0.40071739855013677
692727,1,0.26129896998463215
50143,1,0.6223297144048431
L1535,1,0.32763086251370366
5129TH,1,0.42102874572821675
E3401,1,0.29931425637983883
1984TH,1,0.43026371346076253
53143,1,0.38571218559793885
3401TH,1,0.2401246731726757
52159,1,0.4756432332230746
2497TH,1,0.36697911105415737
5189TH,1,0.3579525945799663
48183,1,0.5819176438532226
46130,1,0.5180706963713273
2702TH,1,0.3232713009783316
49130,1,0.7189055628992695
4001,1,0.40238799018311167
751110,1,0.39705362807552086
3245TH,1,0.32260100442585327
690155,1,0.2769407106022166
720120,1,0.39725255171893115
531158,1,0.3913912234619169
E1187,1,0.3948373169186468
2195,1,0.4196719341672884
713205,1,0.33028107914069943
L0504,1,0.4580189955646167
E21227,1,0.3375449162904569
52112,1,0.5127736299062893
45234,1,0.6369378101789193
L17013,1,0.33694065327403555
2654,1,0.3652141805688147
3089TH,1,0.27825533510596157
3609TH,1,0.3592902564152999
F1403,1,0.34578986616347374
E24807,1,0.23943874527459305
2023,1,0.3653217465591319
2617,1,0.36761522084110915
F2708,1,0.35422974980358685
44115,1,0.6348677039965479
690206,1,0.2899209147456053
2841TH,1,0.32959328840533947
47115,1,0.5577780142198945
4039,1,0.2901014316112148
E1140,1,0.29996794375407426
E61101,1,0.37237636607197705
3020TH,1,0.3703907828442911
768010,1,0.3583899010577332
50134,1,0.5232081418827264
4164,1,0.4075929611118705
E1363,1,0.3147260302227591
53134,1,0.31592676468801495
F2202,1,0.33447906705326047
2705,1,0.4281684145567274
694042,1,0.28079710564277816
L2401A,1,0.42819913728574654
2098,1,0.37812083540931185
023001,1,0.2738896894452688
43121,1,0.41557928799579913
48174,1,0.7070728775185666
022017,1,0.3173589714239465
E22374,1,0.41147585725149244
46121,1,0.734702209973375
L0407,1,0.3633274801665236
2830,1,0.473632776453022
49121,1,0.5836585037958177
45137,1,0.49571023884063337
L0903,1,0.40920733262004805
4192TH,1,0.29327360731599833
48137,1,0.5569465040844515
E60701,1,0.3680935847478488
4314TH,1,0.27374358876481764
L2325,1,0.37989394710949154
680504,1,0.3220529836032633
F1306,1,0.3943856800548609
E9740,1,0.42373965475368874
2195TH,1,0.39757786464254924
E2125,1,0.3872148715522774
L1206,1,0.34875602746277967
E24835,1,0.23485921999693413
E13281,1,0.4042012041340364
5039TH,1,0.4063581483159005
024023,1,0.394586804950386
1102TH,1,0.4064086210651009
023039,1,0.3037703525137345
43159,1,0.4214094196124417
4067,1,0.3212448128533452
46159,1,0.5901261559507694
E1502,1,0.38941223384099505
2490TH,1,0.3824989653111981
44106,1,0.8655320319471703
